module,type,name,res_id,src,value,comments
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Operations</span>,,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Reconciliation</span>,,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>Reports</span>,,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>View</span>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>-The Odoo Team</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>1. Register Outstanding Invoices</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>2. Register Unmatched Payments</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Assets Management</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Automated documents sending:</strong> automatically send your invoices by email or snail mail.,,
account,model,"ir.ui.view,arch_db",account.report_overdue_document,<strong>Balance :</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Banking interface:</strong> with live bank feed synchronization and bank statement import.,,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Cash transactions</strong><br/> (for which there is no invoice or bill), should be entered directly into your Cash Registers bank account.",,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Check the Taxes configuration:</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Check unpaid invoices</strong><br/>
                                         Run an <i>Aged Receivable report</i> and check which customers still owe you money.",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Clean customer invoices:</strong> easy to create, beautiful and full featured invoices.",,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Comment:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_journal,<strong>Company:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_partnerledger,<strong>Company:</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Contracts &amp; Subscriptions</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Create a Customer Invoice</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Create a Deposit Ticket</strong><br/>
                                        This allows you to record the different payments that constitute your bank deposit. (You may need to",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<strong>Create the bill in Odoo</strong><br/> with a proper due date, and create the vendor if it doesnt' exist yet.",,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Customer Code:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_financial,<strong>Date from :</strong>,,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Date from :</strong>,,
account,model,"ir.ui.view,arch_db",account.report_partnerledger,<strong>Date from :</strong>,,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,<strong>Date from :</strong>,,
account,model,"ir.ui.view,arch_db",account.report_financial,<strong>Date to :</strong>,,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Date to :</strong>,,
account,model,"ir.ui.view,arch_db",account.report_partnerledger,<strong>Date to :</strong>,,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,<strong>Date to :</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Deposit Tickets</strong>,,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Description:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_trialbalance,<strong>Display Account:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_generalledger,<strong>Display Account</strong>,,
account,model,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Due Date:</strong>,,
account,model,"ir.ui.view,arch_db",account.report_journal,<strong>Entries Sorted By:</strong>,,
account,model,"ir.ui.view,arch_db",account.account_planner,<strong>Expenses</strong>,,
